user_id,movie_id,rating,timestamp
1,9909,2.5,2009-12-14 02:52:24
1,11360,3.0,2009-12-14 02:52:59
1,819,3.0,2009-12-14 02:53:02
1,1103,2.0,2009-12-14 02:53:05
1,11216,4.0,2009-12-14 02:53:25
1,11778,2.0,2009-12-14 02:52:31
1,665,2.0,2009-12-14 02:53:07
1,783,2.0,2009-12-14 02:52:28
1,6114,3.5,2009-12-14 02:52:05
1,1598,2.0,2009-12-14 02:52:11
1,152,2.5,2009-12-14 02:52:15
1,3179,1.0,2009-12-14 02:53:23
1,1051,4.0,2009-12-14 02:53:11
1,97,4.0,2009-12-14 02:52:19
1,8393,3.0,2009-12-14 02:53:14
1,847,2.0,2009-12-14 02:53:18
1,8916,2.0,2009-12-14 02:51:48
1,9426,2.5,2009-12-14 02:51:53
1,36819,1.0,2009-12-14 02:53:20
1,11072,3.0,2009-12-14 02:51:57
2,710,4.0,1996-06-21 11:11:33
2,4584,5.0,1996-06-21 11:14:41
2,9603,5.0,1996-06-21 11:13:24
2,807,4.0,1996-06-21 11:12:32
2,629,4.0,1996-06-21 11:13:06
2,11448,3.0,1996-06-21 11:20:31
2,2054,3.0,1996-06-21 11:15:49
2,197,4.0,1996-06-21 11:12:12
2,16388,3.0,1996-06-21 11:20:16
2,568,5.0,1996-06-21 11:09:55
2,414,4.0,1996-06-21 11:10:41
2,8963,3.0,1996-06-21 11:11:33
2,1572,3.0,1996-06-21 11:10:41
2,6520,3.0,1996-06-21 11:15:10
2,1642,3.0,1996-06-21 11:11:51
2,11472,3.0,1996-06-21 11:14:24
2,9804,3.0,1996-06-21 11:11:51
2,22625,5.0,1996-06-21 11:17:20
2,2292,1.0,1996-06-21 11:15:49
2,8984,3.0,1996-06-21 11:12:32
2,522,3.0,1996-06-21 11:14:24
2,17207,3.0,1996-06-21 11:18:16
2,628,4.0,1996-06-21 11:11:51
2,9587,4.0,1996-06-21 11:14:41
2,18183,5.0,1996-06-21 11:14:57
2,4476,5.0,1996-06-21 11:13:06
2,11318,3.0,1996-06-21 11:16:07
2,3036,4.0,1996-06-21 11:16:19
2,6950,3.0,1996-06-21 11:11:32
2,680,4.0,1996-06-21 11:09:55
2,11450,3.0,1996-06-21 11:12:12
2,14334,4.0,1996-06-21 11:20:44
2,11395,2.0,1996-06-21 11:12:31
2,9905,1.0,1996-06-21 11:18:38
2,2064,3.0,1996-06-21 11:11:32
2,9331,4.0,1996-06-21 11:10:41
2,10731,4.0,1996-06-21 11:14:57
2,13,3.0,1996-06-21 11:13:48
2,712,3.0,1996-06-21 11:15:49
2,8587,3.0,1996-06-21 11:13:24
2,854,3.0,1996-06-21 11:13:39
2,36593,2.0,1996-06-21 11:18:52
2,12280,3.0,1996-06-21 11:19:28
2,2788,3.0,1996-06-21 11:21:34
2,1637,3.0,1996-06-21 11:15:10
2,10395,3.0,1996-06-21 11:22:45
2,8011,2.0,1996-06-21 11:24:06
2,2758,3.0,1996-06-21 11:12:12
2,37233,4.0,1996-06-21 11:13:24
2,5503,3.0,1996-06-21 11:11:51
2,10612,4.0,1996-06-21 11:16:30
2,9386,2.0,1996-06-21 11:17:08
2,329,4.0,1996-06-21 11:14:03
2,9593,3.0,1996-06-21 11:18:38
